Solute,MN,MW,MV,Solvent,T1,T2,n_points,MAPE_Entropic-FV_independent,MAPE_UNIFAC-ZM_independent,MAPE_Entropic-FV_dependent,MAPE_UNIFAC-ZM_dependent
PVAc,83350,331400,,ethyl acetate,398.2,473.2,4,4.8,15.7,5,18
PBD,22600,23956,,ethyl acetate,353,373,3,1.6,8.4,2.8,7
PMMA,85100,200000,,methyl acetate,398.5,434.2,4,6.9,35.5,6.8,36.5
PEMA,144000,,,butyl acetate,417.7,,1,16.4,32.5,17,33
PEMA,40000,,,ethyl acetate,393.2,,1,18,37.3,18.8,37.9
PBMA,8716,9239,,ethyl acetate,373,413,3,15.6,23.2,18.6,25.9
PVAc,83350,331400,,MEK,398.2,473.2,4,27.6,10.5,17.7,3.3
PS,96200,97600,,MEK,396.5,447.5,3,11.8,8.2,9.7,14.3
PBD,93000,99000,,MEK,339.2,369.2,4,9.4,23.8,22.9,39.1
PBD,22600,23956,,MiBK,353,373,3,10,4.1,2.5,18.6
PBD,22600,23956,,acetone,353,373,3,55.7,10,10.1,14.2
PBMA,8716,9239,,acetone,373,413,3,11.5,21.6,14.4,19.6
PEMA,144000,,,acetone,417.7,,1,14.9,32.3,31,22.9
PBMA,73500,320000,,chlorobutane,393.2,413.2,3,7,22.6,17.4,15.1
PMMA,6107,6412,,dichloromethane,423,473,3,6.7,55.4,19,47.5
PBMA,73500,320000,,dichloromethane,393.2,413.2,3,24.6,34.7,9.3,21.4
PS,96200,97600,,chlorobenzene,396.5,447.5,3,4.4,19.6,9.9,32.5
PBD,22600,23956,,carbontetrachloride,353,373,3,12.1,15.7,7.1,8.9
PMA,63200,200000,,benzene,363.2,383.2,3,19.9,18.5,5.6,28.2
PBD,22600,23956,,benzene,353,373,3,22.2,27.1,5.7,10
PMA,63200,200000,,toluene,363.2,383.2,3,1.9,24.6,6.8,21
PS,76000,82000,,toluene,413.2,473.2,5,6.3,14.2,5.9,13.8
PEMA,144000,,,toluene,417.7,,1,10.8,30.1,13,31.9
