Note,Physical_state
1,
2,Atactic
3,
4,
5,
6,
7,Network
8,
9,Branched
10,Branched
11,
12,
13,Branched
14,Linear
15,Linear
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,Amorphous
40,Amorphous
41,Amorphous
42,Linear
43,Atactic
44,
45,Atactic
46,Atactic
47,Atactic
48,Branched
49,Atactic
50,Branched
51,Branched
52,Branched
53,Branched
54,Atactic
55,
56,
57,
58,
59,
60,Atactic
61,Isotactic
62,
63,
64,Random
65,
66,
67,
68,
69,Alternating
70,Random
71,Network
72,Network
73,Network
74,Random
75,Random
76,Random
77,Random
78,Random
79,Random
80,Random
81,Random
82,
83,
84,
85,
86,Branched
